,,,
NEO CANDO Data Export,,,
,,,
County,Census Tract,pct_white,moe
Cuyahoga,1801.02,53.3,4.7
Cuyahoga,1801.03,44.63,7.69
Cuyahoga,1801.04,36.1,5.52
Cuyahoga,1811,97.39,2.88
Cuyahoga,1812.01,94.13,3.99
Cuyahoga,1812.03,95.6,4.01
Cuyahoga,1812.04,99.82,0.4
Cuyahoga,1821.03,93.67,5.37
Cuyahoga,1821.04,96.74,3.98
Cuyahoga,1821.05,97.57,3.48
Cuyahoga,1821.06,95.9,3.07
Cuyahoga,1831,57.8,5.48
Cuyahoga,1832,86.26,4.53
Cuyahoga,1833,82.24,3.57
Cuyahoga,1834.01,63.28,8.21
Cuyahoga,1834.02,14.92,6.01
Cuyahoga,1835.01,51.65,4.45
Cuyahoga,1835.02,59.15,4.78
Cuyahoga,1836.03,5.22,5.19
Cuyahoga,1836.04,19.65,5.41
Cuyahoga,1836.05,50.72,5.71
Cuyahoga,1836.06,33.1,8.05
Cuyahoga,1841.03,83.69,4.1
Cuyahoga,1841.04,74.81,8.76
Cuyahoga,1841.05,69.4,3.35
Cuyahoga,1841.06,80.69,7.59
Cuyahoga,1841.08,75.84,3.6
Cuyahoga,1851.01,25.79,5.41
Cuyahoga,1851.02,53.21,4.11
Cuyahoga,1851.03,56.41,3.44
Cuyahoga,1851.04,77.91,2.52
Cuyahoga,1852.01,29.56,3.72
Cuyahoga,1852.02,43.04,8.18
Cuyahoga,1852.03,76.51,5.16
Cuyahoga,1861.03,89.44,3.48
Cuyahoga,1861.04,96.2,2.92
Cuyahoga,1861.05,93.18,8.17
Cuyahoga,1861.06,82.94,4.37
Cuyahoga,1861.07,91.4,5.33
Cuyahoga,1862.01,86.83,5.33
Cuyahoga,1862.02,90.4,4.56
Cuyahoga,1862.03,97.73,3.26
Cuyahoga,1862.05,89.89,2.64
Cuyahoga,1862.06,92.43,5.05
Cuyahoga,1871.03,42.53,5.83
Cuyahoga,1871.04,71.35,5.52
Cuyahoga,1871.05,85.53,5.35
Cuyahoga,1871.06,85.79,3.65
Cuyahoga,1881.03,3.53,1.75
Cuyahoga,1881.04,2.26,2.89
Cuyahoga,1881.05,3.5,1.95
Cuyahoga,1881.06,4.58,2.81
Cuyahoga,1881.07,3.09,2.27
Cuyahoga,1891.05,95.51,2.54
Cuyahoga,1891.07,93.39,5.09
Cuyahoga,1891.08,88.78,3.73
Cuyahoga,1891.09,87.24,6.25
Cuyahoga,1891.1,88.11,5.8
Cuyahoga,1891.11,82.02,4.42
Cuyahoga,1891.12,83.69,5.92
Cuyahoga,1905.02,97.6,1.24
Cuyahoga,1905.03,96.91,9.51
Cuyahoga,1905.04,93.66,2.23
Cuyahoga,1923,97.36,2.53
Cuyahoga,1928,79.12,3.76
Cuyahoga,1929,98.51,1.23
Cuyahoga,1938,15.01,6.23
Cuyahoga,1939,27.71,11.52
